date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:02:25	5014/5014	---MCZ	200	added ('OK')	text/html	etag:W/%225836b0cc-1396%22	https://duckduckgo.com/	/root/Desktop/duckduckgo/duckduckgo.com/index.html	(from )
05:02:25	102/102	---MCZ	200	added ('OK')	text/plain	etag:W/%2255bae5c3-7c%22	https://duckduckgo.com/robots.txt		(from )
05:02:26	140156/140156	---MCZ	200	added ('OK')	text/css	etag:W/%225834c81e-2237c%22	https://duckduckgo.com/s1224.css	/root/Desktop/duckduckgo/duckduckgo.com/s1224.css	(from https://duckduckgo.com/)
05:02:26	66525/66525	---MCZ	200	added ('OK')	text/css	etag:W/%225834c81e-103dd%22	https://duckduckgo.com/t1224.css	/root/Desktop/duckduckgo/duckduckgo.com/t1224.css	(from https://duckduckgo.com/)
05:02:26	32988/32988	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2255bae5c3-80dc%22	https://duckduckgo.com/favicon.ico	/root/Desktop/duckduckgo/duckduckgo.com/favicon.ico	(from https://duckduckgo.com/)
05:02:26	6811/6811	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-1a9b%22	https://duckduckgo.com/assets/icons/meta/DDG-iOS-icon_60x60.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/meta/DDG-iOS-icon_60x60.png	(from https://duckduckgo.com/)
05:02:26	9080/9080	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-2378%22	https://duckduckgo.com/assets/icons/meta/DDG-iOS-icon_76x76.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/meta/DDG-iOS-icon_76x76.png	(from https://duckduckgo.com/)
05:02:27	16821/16821	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-41b5%22	https://duckduckgo.com/assets/icons/meta/DDG-iOS-icon_120x120.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/meta/DDG-iOS-icon_120x120.png	(from https://duckduckgo.com/)
05:02:27	23357/23357	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-5b3d%22	https://duckduckgo.com/assets/icons/meta/DDG-iOS-icon_152x152.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/meta/DDG-iOS-icon_152x152.png	(from https://duckduckgo.com/)
05:02:28	14153/14153	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-3749%22	https://duckduckgo.com/assets/icons/meta/DDG-icon_256x256.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/meta/DDG-icon_256x256.png	(from https://duckduckgo.com/)
05:02:28	51910/51910	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225834c81e-cac6%22	https://duckduckgo.com/s2022.js	/root/Desktop/duckduckgo/duckduckgo.com/s2022.js	(from https://duckduckgo.com/)
05:02:28	98873/98873	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225836b0c9-18239%22	https://duckduckgo.com/locales/en_US/LC_MESSAGES/duckduckgo-duckduckgo+sprintf+gettext+locale-simple.20161118.114529.js	/root/Desktop/duckduckgo/duckduckgo.com/locales/en_US/LC_MESSAGES/duckduckgo-duckduckgo+sprintf+gettext+locale-simple.20161118.114529.js	(from https://duckduckgo.com/)
05:02:29	438827/438827	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225834c81e-6b22b%22	https://duckduckgo.com/d2022.js	/root/Desktop/duckduckgo/duckduckgo.com/d2022.js	(from https://duckduckgo.com/)
05:02:29	36946/36946	---MCZ	200	added ('OK')	text/html	etag:W/%225836b0cb-9052%22	https://duckduckgo.com/about	/root/Desktop/duckduckgo/duckduckgo.com/about.html	(from https://duckduckgo.com/)
05:02:29	7084/7084	---MCZ	200	added ('OK')	text/html	etag:W/%225836b0ce-1bac%22	https://duckduckgo.com/spread	/root/Desktop/duckduckgo/duckduckgo.com/spread.html	(from https://duckduckgo.com/)
05:02:30	21109/21109	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2255bae5c3-5275%22	https://duckduckgo.com/font/ProximaNova-Sbold-webfont.eot	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Sbold-webfont.eot	(from https://duckduckgo.com/s1224.css)
05:02:30	17072/17072	---MCZ	200	added ('OK')	text/html	etag:W/%225836b0cf-42b0%22	https://duckduckgo.com/tour	/root/Desktop/duckduckgo/duckduckgo.com/tour.html	(from https://duckduckgo.com/)
05:02:30	21109/21109	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2255bae5c3-5275%22	https://duckduckgo.com/font/ProximaNova-Sbold-webfont.eot?	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Sbold-webfontd41d.eot	(from https://duckduckgo.com/s1224.css)
05:02:30	23900/23900	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2255bae5c3-5d5c%22	https://duckduckgo.com/font/ProximaNova-Sbold-webfont.woff	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Sbold-webfont.woff	(from https://duckduckgo.com/s1224.css)
05:02:31	50860/50860	---M--	200	added ('OK')	font/ttf	etag:%2255bae5c3-c6ac%22	https://duckduckgo.com/font/ProximaNova-Sbold-webfont.ttf	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Sbold-webfont.ttf	(from https://duckduckgo.com/s1224.css)
05:02:31	20981/20981	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2255bae5c3-51f5%22	https://duckduckgo.com/font/ProximaNova-Reg-webfont.eot	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Reg-webfont.eot	(from https://duckduckgo.com/s1224.css)
05:02:31	72564/72564	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c3-11b74%22	https://duckduckgo.com/font/ProximaNova-Sbold-webfont.svg	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Sbold-webfont.svg	(from https://duckduckgo.com/s1224.css)
05:02:31	20981/20981	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2255bae5c3-51f5%22	https://duckduckgo.com/font/ProximaNova-Reg-webfont.eot?	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Reg-webfontd41d.eot	(from https://duckduckgo.com/s1224.css)
05:02:32	23776/23776	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2255bae5c3-5ce0%22	https://duckduckgo.com/font/ProximaNova-Reg-webfont.woff	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Reg-webfont.woff	(from https://duckduckgo.com/s1224.css)
05:02:32	50372/50372	---M--	200	added ('OK')	font/ttf	etag:%2255bae5c3-c4c4%22	https://duckduckgo.com/font/ProximaNova-Reg-webfont.ttf	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Reg-webfont.ttf	(from https://duckduckgo.com/s1224.css)
05:02:32	72689/72689	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c3-11bf1%22	https://duckduckgo.com/font/ProximaNova-Reg-webfont.svg	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Reg-webfont.svg	(from https://duckduckgo.com/s1224.css)
05:02:32	22652/22652	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2255bae5c3-587c%22	https://duckduckgo.com/font/ProximaNova-RegIt-webfont.eot	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-RegIt-webfont.eot	(from https://duckduckgo.com/s1224.css)
05:02:32	22652/22652	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2255bae5c3-587c%22	https://duckduckgo.com/font/ProximaNova-RegIt-webfont.eot?	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-RegIt-webfontd41d.eot	(from https://duckduckgo.com/s1224.css)
05:02:33	25488/25488	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2255bae5c3-6390%22	https://duckduckgo.com/font/ProximaNova-RegIt-webfont.woff	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-RegIt-webfont.woff	(from https://duckduckgo.com/s1224.css)
05:02:33	58220/58220	---M--	200	added ('OK')	font/ttf	etag:%2255bae5c3-e36c%22	https://duckduckgo.com/font/ProximaNova-RegIt-webfont.ttf	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-RegIt-webfont.ttf	(from https://duckduckgo.com/s1224.css)
05:02:33	74612/74612	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c3-12374%22	https://duckduckgo.com/font/ProximaNova-RegIt-webfont.svg	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-RegIt-webfont.svg	(from https://duckduckgo.com/s1224.css)
05:02:33	18924/18924	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2255bae5c3-49ec%22	https://duckduckgo.com/font/ProximaNova-Light-webfont.eot	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Light-webfont.eot	(from https://duckduckgo.com/s1224.css)
05:02:34	18924/18924	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2255bae5c3-49ec%22	https://duckduckgo.com/font/ProximaNova-Light-webfont.eot?	/root/Desktop/duckduckgo/duckduckgo.com/font/ProximaNova-Light-webfontd41d.eot	(from https://duckduckgo.com/s1224.css)
